STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES
CA001108473,1/20/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
CA001108473,1/21/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
CA001108473,1/22/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",10,",,C",0,",,C",,,,,,,,
CA001108473,1/23/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",160,",,C",0,",,C",,,,,,,,
CA001108473,1/24/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",112,",,C",0,",,C",,,,,,,,
CA001108473,1/25/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",74,",,C",0,",,C",,,,,,,,
CA001108473,1/26/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",94,",,C",0,",,C",,,,,,,,
CA001108473,1/27/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",13,",,C",0,",,C",,,,,,,,
CA001108473,1/28/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",429,",,C",0,",,C",,,,,,,,
CA001108473,1/29/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",76,",,C",0,",,C",,,,,,,,
CA001108473,1/30/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
CA001108473,1/31/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",28,",,C",0,",,C",,,,,,,,
CA001108473,2/1/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",246,",,C",0,",,C",,,,,,,,
CA001108473,2/2/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",107,",,C",0,",,C",,,,,,,,
CA001108473,2/3/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
CA001108473,2/4/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",36,",,C",0,",,C",,,,,,,,
CA001108473,2/5/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
CA001108473,2/6/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",221,",,C",0,",,C",,,,,,,,
CA001108473,2/7/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",48,",,C",0,",,C",,,,,,,,
CA001108473,2/8/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",48,",,C",0,",,C",,,,,,,,
CA001108473,2/9/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",15,",,C",0,",,C",,,,,,,,
CA001108473,2/10/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
CA001108473,2/11/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",231,",,C",0,",,C",,,,,,,,
CA001108473,2/12/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",8,",,C",0,",,C",,,,,,,,
CA001108473,2/13/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",231,",,C",0,",,C",,,,,,,,
CA001108473,2/14/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",104,",,C",0,",,C",,,,,,,,
CA001108473,2/15/1960,49.2333,-123.1833,8,"VANCOUVER SOUTHLANDS, BC CA",0,",,C",0,",,C",,,,,,,,
