report_id,report_type,site_species_id,species_id,common_name,family,genus,species,infra_rank,infra_epithet,sec_infra_rank,sec_infra_epithet,cultivar,plant_group_id,official_budburst_species,location_id,latitude,longitude,locality,administrative_area_level_1,postal_code,administrative_area_level_2,country,observation_date,notes,observation_id,phenophase_id,phenophase_plant_structure,phenophase_title,pollinators_time_start,pollinators_time_end,pollinators_temperature_fahrenheit,pollinators_cloud_cover_id,pollinators_flowering_stage_id,pollinators_number_open_flowers,pollinators_plant_height,pollinators_ants,pollinators_bats,pollinators_bees_general,pollinators_bees_other,pollinators_beetles,pollinators_birds,pollinators_bumble_bees,pollinators_butterflies,pollinators_butterflies_moths,pollinators_carpenter_bees,pollinators_flies,pollinators_honey_bees,pollinators_large_bees_wasps,pollinators_metallic_green_bees,pollinators_moths,pollinators_not_sure,pollinators_small_bees_flies,pollinators_wasps,monarchs_patch_name,monarchs_monitoring_all_plants_in_patch,monarchs_number_of_plants_in_patch,monarchs_no_insects_present,monarchs_ants_present,monarchs_milkweed_aphids_present,monarchs_japanese_beetles_present,monarchs_milkweed_beetles_present,monarchs_milkweed_bugs_present,monarchs_other_insects_present,monarchs_spiders_present,monarchs_stem_plant_flowering_stage,monarchs_stem_number_flower_clusters,monarchs_stem_number_eggs,monarchs_stem_number_instar_1,monarchs_stem_number_instar_2_5,monarchs_stem_number_instar_2,monarchs_stem_number_instar_3,monarchs_stem_number_instar_4,monarchs_stem_number_instar_5
448,phenology,32576,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,533,38.994700000000000,-76.932200000000000,"College Park",MD,20740,"Prince George's County",US,03/06/2008,"Legacy report.",446,FL-FIRST,Flowers,"First Flower"
641,phenology,32577,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,1001,35.098600000000000,-89.783700000000000,Germantown,TN,38139,"Shelby County",US,03/18/2008,"Legacy report. The first leaf was entered incorrectly as
the full leaf
.",628,FL-FIRST,Flowers,"First Flower"
1003,phenology,32578,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,1212,34.053600000000000,-83.123100000000000,Comer,GA,30629,"Madison County",US,03/23/2008,"Legacy report.",990,FL-FIRST,Flowers,"First Flower"
2556,phenology,32579,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,1264,40.705500000000000,-73.448900000000000,"Massapequa Park",NY,11762,"Nassau County",US,04/04/2008,"Legacy report.",2526,LU-FIRST,"Leaves Unfolding","First Leaf"
6111,phenology,32580,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,2895,39.160000000000000,-86.490000000000000,Bloomington,IN,47401,"Monroe County",US,03/08/2009,"Legacy report.",6049,LU-FIRST,"Leaves Unfolding","First Leaf"
14153,phenology,5614,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,5859,38.980400000000000,-77.106400000000000,Bethesda,MD,20814,"Montgomery County",US,03/01/2012,"Cherry trees with darker pink flowers in t
his area seem to be almost to peak bloom - not quite there, but maybe 60% flower
s open.",13763,FL-MIDDLE,Flowers,"Middle Flowering"
14155,phenology,5615,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,5860,38.780300000000000,-77.066400000000000,Alexandria,VA,22307,"Fairfax County",US,03/02/2012,"Dark pink blossoms - I'm pretty sure it's
a Yoshino. About 95% of them are open.",13765,FL-MIDDLE,Flowers,"Middle Flowering"
14430,phenology,5756,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,6079,40.000000000000000,-74.000000000000000,,NJ,,"Ocean County",US,03/22/2012,,14002,LU-EARLY,"Leaves Unfolding","Early Leaves"
14463,phenology,5775,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,6089,40.761400000000000,-73.915700000000000,,NY,11103,"Queens County",US,03/24/2012,"There are 5 trees in this location. Some t
rees had about 30% of leaves open and other trees had closer to 10%.",14035,FL-MIDDLE,Flowers,"Middle Flowering"
14465,phenology,5776,183,"Yoshino cherry",Rosaceae,Prunus,yedoensis,,,,,,DTS,1,6090,39.743600000000000,-104.941000000000000,Denver,CO,80220,"Denver County",US,03/24/2012,,14037,FL-MIDDLE,Flowers,"Middle Flowering"
